# 1997 10 28 12  1 44.75  37.2893 -121.6692    3.68 1.61  0.12  0.29  0.05     529274
NCCCO       1.400  -1.000   P
NCCMH       2.670   1.000   P
NCCAO       4.890   0.100   S
NCCAO       2.760   1.000   P
NCCAD       3.430   0.500   P
NCJST       3.320   1.000   P
NCJLA       3.600   1.000   P
NCCML       4.320   1.000   P
NCCAL       7.810   0.100   S
NCCAL       4.290   1.000   P
NCJAL       4.450   1.000   P
NCHSP       4.750   1.000   P
NCJHL       5.050   1.000   P
NCJUM       5.070   0.500   P
NCJSS       5.390   0.500   P
NCHGS       5.550   0.500   P
NCJEC       5.850   1.000   P
NCJLX       5.820   0.500   P
NCCDV       6.040   1.000   P
NCCMJ       6.140   0.500   P
NCCMP       5.980   0.500   P
NCJBZ       6.750   0.500   P
NCHCA       6.850   0.200   P
NCJBC       6.910   0.200   P
NCCOS       6.710   0.100   P
NCCVA       7.260   0.500   P
NCJPL       7.680   0.200   P
NCHCR       7.100   0.500   P
NCCMN       7.370   0.200   P
NCJSJ       7.630   0.200   P
NCHCB       7.630   0.100   P
NCJSC       7.590   0.500   P
NCHFE       7.720   0.100   P
NCCST       8.260   0.500   P
NCJBM       8.120   0.200   P
NCHPC       7.920   0.500   P
NCCNI       8.290   0.200   P
NCHCO       8.690   0.100   P
NCJBN       8.740   0.100   P
NCCCY       8.460   0.200   P
NCJJR       8.890   0.100   P
NCJPP       9.220   0.500   P
NCCGP       9.300   0.200   P
NCHDL       9.450   0.100   P
NCHJG      10.320   0.100   P
NCJHP      10.520   0.500   P
NCJBG      11.070   0.100   P
NCCLC      11.400   0.100   P
NCJPS      10.980   0.100   P
NCHFP      11.430   0.100   P
NCHJS      11.380   0.100   P
NCBSR      12.590   0.200   P
NCJMG      14.450   0.200   P
